frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
72,2025-08-23T11:25:01.262678,7,7.306141e-05,9.952255e-05,5.1069936e-05,8.729759e-05,4.0349474e-05,9.506727e-05,0.00016563523,3.8364316e-05,5.9686543e-05,2.0559799e-05,0,0,0
73,2025-08-23T11:25:01.312359,7,7.2350485e-05,9.525186e-05,5.6407738e-05,9.2347924e-05,4.338391e-05,8.507433e-05,0.00015864967,3.5224162e-05,5.9907376e-05,2.4907433e-05,0,0,0
74,2025-08-23T11:25:01.358914,8,7.763278e-05,9.981631e-05,6.3440915e-05,9.4003095e-05,5.0279094e-05,9.3561546e-05,0.00016441105,3.383402e-05,7.229035e-05,2.7058624e-05,0,0,0
75,2025-08-23T11:25:01.403228,7,7.4743846e-05,9.77934e-05,6.539375e-05,8.057279e-05,5.4640586e-05,0.0001001386,0.00014502722,4.0343813e-05,6.414462e-05,2.463984e-05,0,0,0
76,2025-08-23T11:25:01.447522,8,8.0318336e-05,0.000105883955,7.010929e-05,7.417686e-05,6.654592e-05,0.000110624234,0.00017194795,3.1355787e-05,6.675357e-05,2.5467501e-05,0,0,0
77,2025-08-23T11:25:01.492310,8,8.6526685e-05,0.00012545542,6.813336e-05,7.766091e-05,7.42438e-05,0.00010847147,0.00015616207,5.365188e-05,9.3550465e-05,2.1410786e-05,0,0,0
78,2025-08-23T11:25:01.535710,8,8.4611784e-05,0.000117110976,6.487741e-05,7.609934e-05,8.361497e-05,0.00010131745,0.00012917412,5.1662104e-05,0.0001176156,2.0034111e-05,0,0,0
79,2025-08-23T11:25:01.578820,9,8.9142726e-05,0.000104933424,6.906928e-05,8.055994e-05,6.744977e-05,0.00010373139,0.000168247,5.1096187e-05,0.0001369112,2.0286358e-05,0,0,0
80,2025-08-23T11:25:01.621771,9,9.046777e-05,0.000110520676,7.1736125e-05,8.702656e-05,6.9180285e-05,0.00010698794,0.0001501133,6.3218315e-05,0.00013803528,1.7391505e-05,0,0,0
81,2025-08-23T11:25:01.665726,9,9.3056326e-05,0.00010367016,6.67684e-05,9.176491e-05,6.0200586e-05,0.00012370931,0.00017665612,5.7257286e-05,0.00014211946,1.5360643e-05,0,0,0
82,2025-08-23T11:25:01.710033,7,7.646055e-05,9.1764225e-05,5.693933e-05,7.974e-05,5.785523e-05,8.932062e-05,0.00015289936,4.5532346e-05,9.889646e-05,1.519739e-05,0,0,0
83,2025-08-23T11:25:01.753615,8,8.070375e-05,9.716554e-05,5.246661e-05,7.8205405e-05,5.3219403e-05,8.5380096e-05,0.0002097981,4.0492658e-05,9.1488284e-05,1.8117586e-05,0,0,0
84,2025-08-23T11:25:01.797638,7,7.5117256e-05,8.456748e-05,5.482906e-05,7.688817e-05,5.3818854e-05,9.83572e-05,0.00015698266,4.243477e-05,9.085494e-05,1.7322127e-05,0,0,0
85,2025-08-23T11:25:01.841498,7,7.1871844e-05,8.393224e-05,6.214312e-05,9.192597e-05,4.7617126e-05,8.556615e-05,0.00014601446,4.6582634e-05,7.027225e-05,1.27926405e-05,0,0,0
86,2025-08-23T11:25:01.884950,7,7.5955424e-05,8.15228e-05,6.6618464e-05,9.2934126e-05,4.4542216e-05,0.00010781456,0.00014387886,4.386453e-05,8.587168e-05,1.6551608e-05,0,0,0
87,2025-08-23T11:25:01.929513,7,6.865311e-05,7.4123316e-05,6.1261264e-05,9.604695e-05,3.3766457e-05,0.000114338014,0.0001201426,3.536632e-05,7.250469e-05,1.0328382e-05,0,0,0
88,2025-08-23T11:25:01.974466,7,7.323122e-05,8.741647e-05,6.871724e-05,0.00010725356,4.0355615e-05,0.00010568678,0.00011153541,4.833652e-05,7.544617e-05,1.433323e-05,0,0,0
89,2025-08-23T11:25:02.025641,6,6.674256e-05,8.3669824e-05,6.648118e-05,0.00011162126,3.7885053e-05,8.233027e-05,8.794916e-05,4.8267175e-05,7.189369e-05,1.0585468e-05,0,0,0
90,2025-08-23T11:25:02.069379,7,6.9951784e-05,9.101218e-05,6.66152e-05,0.00011433111,3.4015306e-05,9.3038085e-05,8.624863e-05,4.845463e-05,8.003025e-05,1.582066e-05,0,0,0
91,2025-08-23T11:25:02.114747,6,6.0310962e-05,7.277004e-05,4.8897273e-05,0.000100076744,3.844775e-05,7.208846e-05,7.0662005e-05,7.330825e-05,5.7367677e-05,9.18043e-06,0,0,0
92,2025-08-23T11:25:02.160444,6,6.387261e-05,7.3894844e-05,5.674932e-05,0.00011058956,3.8662383e-05,7.405682e-05,7.186953e-05,8.6133565e-05,5.423231e-05,8.66521e-06,0,0,0
93,2025-08-23T11:25:02.204304,6,6.49125e-05,7.871801e-05,5.0637445e-05,0.000130604,4.3600434e-05,6.018193e-05,8.5712956e-05,6.694741e-05,6.2455685e-05,5.354653e-06,0,0,0
94,2025-08-23T11:25:02.249680,6,6.322728e-05,8.558061e-05,5.794303e-05,0.00011467086,5.3466134e-05,5.600376e-05,8.225054e-05,6.7659195e-05,4.44879e-05,6.983463e-06,0,0,0
95,2025-08-23T11:25:02.293441,6,5.9353653e-05,8.3282015e-05,4.813007e-05,9.902666e-05,5.023071e-05,4.295264e-05,7.97657e-05,5.5822467e-05,6.674598e-05,8.226665e-06,0,0,0
96,2025-08-23T11:25:02.337134,5,5.5036842e-05,7.9253616e-05,4.0059647e-05,8.247188e-05,4.439375e-05,3.7825914e-05,8.072084e-05,5.5017626e-05,6.7699846e-05,7.888423e-06,0,0,0
97,2025-08-23T11:25:02.382248,5,5.4106025e-05,8.152203e-05,4.1716594e-05,8.530982e-05,4.7650876e-05,4.3023345e-05,7.7764336e-05,4.740183e-05,5.8454465e-05,4.110928e-06,0,0,0
98,2025-08-23T11:25:02.425701,6,6.552543e-05,8.4056956e-05,4.415084e-05,0.00011310665,4.7294223e-05,4.8595783e-05,9.065219e-05,4.5300243e-05,0.00011139717,5.174813e-06,0,0,0
99,2025-08-23T11:25:02.515921,6,6.361175e-05,8.784221e-05,4.0708586e-05,0.000105812476,4.697757e-05,5.5172317e-05,9.2754846e-05,3.7678263e-05,0.00010505926,5.001881e-07,0,0,0
100,2025-08-23T11:25:02.561144,6,6.457916e-05,8.89364e-05,3.562747e-05,9.935639e-05,5.1821153e-05,4.9366536e-05,0.00010660963,3.3695324e-05,0.00011594952,-1.5008509e-07,0,0,0
101,2025-08-23T11:25:02.605632,6,6.468093e-05,9.429008e-05,3.8992137e-05,0.00010177241,5.414496e-05,3.848178e-05,0.00011046618,3.386631e-05,0.00010614431,3.9702445e-06,0,0,0
102,2025-08-23T11:25:02.649002,6,6.606129e-05,8.679054e-05,3.898667e-05,9.519082e-05,6.566627e-05,4.5860485e-05,0.00011937893,2.8381672e-05,0.0001085769,5.719305e-06,0,0,0
103,2025-08-23T11:25:02.692272,6,6.036047e-05,8.927494e-05,3.710331e-05,7.454855e-05,5.1461164e-05,4.7281184e-05,0.00011246765,2.4302477e-05,0.000100184734,6.6202447e-06,0,0,0
104,2025-08-23T11:25:02.737918,6,6.2622625e-05,7.772474e-05,4.1881674e-05,6.999545e-05,3.8939786e-05,5.204707e-05,0.00012994217,1.8066568e-05,0.00012697707,8.029062e-06,0,0,0
105,2025-08-23T11:25:02.782796,6,5.982061e-05,7.175661e-05,3.6813188e-05,7.116699e-05,3.566103e-05,5.833611e-05,0.000121006095,1.8339671e-05,0.00011653627,8.769487e-06,0,0,0
106,2025-08-23T11:25:02.834557,6,6.470732e-05,7.045189e-05,4.041408e-05,7.999424e-05,3.6657486e-05,6.567755e-05,0.00016639709,1.7883154e-05,9.91612e-05,5.7292264e-06,0,0,0
107,2025-08-23T11:25:02.878539,6,6.213273e-05,7.100749e-05,4.1572082e-05,6.4638676e-05,3.7219626e-05,6.449572e-05,0.00014090947,1.9651445e-05,0.000113335314,6.364709e-06,0,0,0
108,2025-08-23T11:25:02.921913,7,6.8045265e-05,8.07942e-05,4.2551823e-05,9.203233e-05,3.9840903e-05,5.977315e-05,0.00015442184,1.8998446e-05,0.00011419935,9.795352e-06,0,0,0
109,2025-08-23T11:25:02.964371,7,6.888592e-05,8.463721e-05,3.724795e-05,9.691858e-05,4.0560946e-05,6.519769e-05,0.00015851134,1.7761524e-05,0.00010396272,1.5175308e-05,0,0,0
110,2025-08-23T11:25:03.007836,6,6.280224e-05,8.97084e-05,4.2789707e-05,8.095527e-05,3.8601604e-05,5.301381e-05,0.00012388047,1.6310294e-05,0.0001015744,1.8386192e-05,0,0,0
111,2025-08-23T11:25:03.052167,6,6.6161236e-05,9.393021e-05,3.791995e-05,8.026439e-05,4.3227228e-05,6.506588e-05,0.00013807083,1.50989745e-05,0.00010585522,1.6018414e-05,0,0,0
112,2025-08-23T11:25:03.095824,7,7.094798e-05,9.203111e-05,4.422223e-05,9.7935466e-05,5.3323896e-05,6.6765e-05,0.00015090521,1.4672928e-05,0.00010128792,1.7388063e-05,0,0,0
113,2025-08-23T11:25:03.139871,7,6.797722e-05,7.712105e-05,3.8423317e-05,8.3601924e-05,4.719535e-05,6.670476e-05,0.00015619358,1.3023363e-05,0.000109286826,2.024484e-05,0,0,0
114,2025-08-23T11:25:03.183923,7,6.891895e-05,7.372202e-05,3.8325976e-05,9.656109e-05,4.672909e-05,7.506335e-05,0.00013571125,1.198486e-05,0.00012006217,2.2110677e-05,0,0,0
115,2025-08-23T11:25:03.228596,7,7.181594e-05,7.480155e-05,4.010132e-05,9.3623756e-05,4.83227e-05,8.1013975e-05,0.00016824657,1.1251674e-05,0.000106302155,2.2679866e-05,0,0,0
116,2025-08-23T11:25:03.271965,8,8.136277e-05,7.561773e-05,4.0673553e-05,0.00010855895,4.8795635e-05,9.017746e-05,0.00018823965,1.15623725e-05,0.00013492294,3.3716668e-05,0,0,0
