frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
27,2025-08-23T10:17:17.962309,2,Zone 1-3,9.447773e-06,2,normal
27,2025-08-23T10:17:17.962309,3,Zone 2-1,0.0005434562,124,normal
27,2025-08-23T10:17:17.962309,4,Zone 2-2,0.00023918418,54,normal
27,2025-08-23T10:17:17.962309,5,Zone 2-3,0.00016104593,37,normal
27,2025-08-23T10:17:17.962309,6,Zone 3-1,7.923403e-05,18,normal
27,2025-08-23T10:17:17.962309,7,Zone 3-2,6.451343e-05,14,normal
27,2025-08-23T10:17:17.962309,8,Zone 3-3,0.0001513561,34,normal
28,2025-08-23T10:17:18.416604,0,Zone 1-1,8.45761e-06,1,normal
28,2025-08-23T10:17:18.416604,1,Zone 1-2,4.627638e-06,1,normal
28,2025-08-23T10:17:18.416604,2,Zone 1-3,1.1777159e-05,2,normal
28,2025-08-23T10:17:18.416604,3,Zone 2-1,0.00051319157,118,normal
28,2025-08-23T10:17:18.416604,4,Zone 2-2,0.00018547426,42,normal
28,2025-08-23T10:17:18.416604,5,Zone 2-3,0.0001452279,33,normal
28,2025-08-23T10:17:18.416604,6,Zone 3-1,7.7926285e-05,17,normal
28,2025-08-23T10:17:18.416604,7,Zone 3-2,6.8911555e-05,15,normal
28,2025-08-23T10:17:18.416604,8,Zone 3-3,0.00014870198,34,normal
29,2025-08-23T10:17:18.942680,0,Zone 1-1,1.0156451e-05,2,normal
29,2025-08-23T10:17:18.942680,1,Zone 1-2,5.8032197e-06,1,normal
29,2025-08-23T10:17:18.942680,2,Zone 1-3,1.1035241e-05,2,normal
29,2025-08-23T10:17:18.942680,3,Zone 2-1,0.00048225108,110,normal
29,2025-08-23T10:17:18.942680,4,Zone 2-2,0.00023513765,54,normal
29,2025-08-23T10:17:18.942680,5,Zone 2-3,0.00014149515,32,normal
29,2025-08-23T10:17:18.942680,6,Zone 3-1,7.727867e-05,17,normal
29,2025-08-23T10:17:18.942680,7,Zone 3-2,6.8667214e-05,15,normal
29,2025-08-23T10:17:18.942680,8,Zone 3-3,0.00015231647,34,normal
