frame,timestamp,crowd_count,avg_magnitude,max_magnitude,direction_variance,confidence_score,stampede_detected,crowd_score,motion_score,chaos_score
236,2025-08-23T09:29:04.238530,13,0.3667316734790802,49.07255172729492,3.071993350982666,46.889755646387734,No,0.26,0.14669266939163209,1.0
238,2025-08-23T09:29:04.827755,10,0.38719823956489563,47.142005920410156,3.061379909515381,45.16264319419861,No,0.2,0.15487929582595825,1.0
240,2025-08-23T09:29:05.508378,11,0.36891332268714905,29.12114143371582,3.177551031112671,45.58551096916199,No,0.22,0.1475653290748596,1.0
242,2025-08-23T09:29:06.079470,8,0.3743007779121399,40.582942962646484,2.891099452972412,43.65734370549521,No,0.16,0.14972031116485596,1.0
244,2025-08-23T09:29:06.656633,11,0.29723504185676575,38.748634338378906,2.905050277709961,44.62980055809021,No,0.22,0.1188940167427063,1.0
246,2025-08-23T09:29:07.229069,9,0.28115585446357727,42.95720291137695,3.0204997062683105,43.08207805951436,No,0.18,0.11246234178543091,1.0
248,2025-08-23T09:29:07.806710,7,0.2557632029056549,52.17087173461914,3.2133991718292236,41.410176038742065,No,0.14,0.10230528116226197,1.0
250,2025-08-23T09:29:08.374085,12,0.2560085952281952,61.421241760253906,3.379828453063965,44.74678126970926,No,0.24,0.10240343809127808,1.0
252,2025-08-23T09:29:08.946835,11,0.3560515344142914,100.90382385253906,3.3634300231933594,45.41402045885722,No,0.22,0.14242061376571655,1.0
254,2025-08-23T09:29:09.508040,12,0.20479708909988403,52.173397064208984,3.4975457191467285,44.06396118799845,No,0.24,0.08191883563995361,1.0
256,2025-08-23T09:29:10.084369,12,0.17377686500549316,53.11329650878906,3.499027967453003,43.65035820007324,No,0.24,0.06951074600219727,1.0
258,2025-08-23T09:29:10.643438,13,0.208648681640625,26.148086547851562,3.517176628112793,44.78198242187499,No,0.26,0.08345947265625,1.0
260,2025-08-23T09:29:11.202812,12,0.3391730487346649,52.17920684814453,3.674692392349243,45.85564064979553,No,0.24,0.13566921949386596,1.0
262,2025-08-23T09:29:11.785053,12,0.5633623003959656,126.62455749511719,3.5728633403778076,48.84483067194621,No,0.24,0.22534492015838622,1.0
264,2025-08-23T09:29:12.307363,11,0.5080996751785278,141.7868194580078,3.3396196365356445,47.441329002380364,No,0.22,0.20323987007141114,1.0
266,2025-08-23T09:29:12.849339,10,0.47985023260116577,241.9973907470703,3.0486056804656982,46.39800310134888,No,0.2,0.1919400930404663,1.0
268,2025-08-23T09:29:13.361413,9,0.35173556208610535,54.63691329956055,3.1745800971984863,44.023140827814736,No,0.18,0.14069422483444213,1.0
270,2025-08-23T09:29:13.946632,14,0.37185022234916687,45.61996841430664,3.4452788829803467,47.62466963132222,No,0.28,0.14874008893966675,1.0
272,2025-08-23T09:29:14.528738,14,0.36205318570137024,44.19572448730469,3.31168532371521,47.49404247601827,No,0.28,0.14482127428054808,1.0
274,2025-08-23T09:29:15.103458,15,0.3346779942512512,29.30567741394043,3.2962002754211426,47.795706590016685,No,0.3,0.1338711977005005,1.0
276,2025-08-23T09:29:15.714288,14,0.40562301874160767,31.43688201904297,3.362539052963257,48.074973583221436,No,0.28,0.16224920749664307,1.0
278,2025-08-23T09:29:16.276777,13,0.26429322361946106,23.266141891479492,2.8150861263275146,45.52390964825948,No,0.26,0.10571728944778443,1.0
280,2025-08-23T09:29:16.859361,13,0.26378706097602844,21.3934383392334,2.7688419818878174,45.51716081301371,No,0.26,0.10551482439041138,1.0
282,2025-08-23T09:29:17.423627,13,0.25386807322502136,19.24833869934082,2.455040693283081,45.38490764300029,No,0.26,0.10154722929000855,1.0
284,2025-08-23T09:29:18.008938,15,0.287779301404953,17.609724044799805,2.5323832035064697,47.17039068539937,No,0.3,0.1151117205619812,1.0
286,2025-08-23T09:29:18.597354,15,0.32455047965049744,21.099172592163086,2.9600918292999268,47.66067306200663,No,0.3,0.12982019186019897,1.0
288,2025-08-23T09:29:19.170780,13,0.3403998613357544,16.090051651000977,3.187680721282959,46.53866481781006,No,0.26,0.13615994453430175,1.0
290,2025-08-23T09:29:19.743273,13,0.32976144552230835,20.23052978515625,3.0670864582061768,46.396819273630776,No,0.26,0.13190457820892335,1.0
292,2025-08-23T09:29:20.321484,12,0.34103894233703613,35.60707473754883,3.0592691898345947,45.88051923116048,No,0.24,0.13641557693481446,1.0
294,2025-08-23T09:29:20.911598,12,0.37241825461387634,46.74599075317383,3.1613376140594482,46.29891006151834,No,0.24,0.14896730184555054,1.0
296,2025-08-23T09:29:21.432543,12,0.40086832642555237,35.3936882019043,3.0807700157165527,46.6782443523407,No,0.24,0.16034733057022094,1.0
298,2025-08-23T09:29:21.944568,11,0.44291454553604126,40.58740997314453,3.088663339614868,46.57219394048055,No,0.22,0.17716581821441652,1.0
300,2025-08-23T09:29:22.464918,11,0.4987594783306122,47.63931655883789,3.318399429321289,47.316793044408165,No,0.22,0.19950379133224488,1.0
302,2025-08-23T09:29:23.056268,12,0.3254714608192444,16.994861602783203,3.4383842945098877,45.672952810923256,No,0.24,0.13018858432769775,1.0
304,2025-08-23T09:29:23.679696,12,0.3267627954483032,21.583595275878906,4.109512805938721,45.69017060597738,No,0.24,0.1307051181793213,1.0
